PAC,long,lat
822471,-53.60395058575091,-27.83991370035693
822461,-53.60385980728421,-27.840903094901876
822451,-53.60379378535487,-27.841622780067212
135312,-53.60457866327465,-27.841666135483706
135301,-53.60536355198627,-27.841709476511085
822711,-53.601347730113616,-27.825838222156165
822701,-53.60095329016218,-27.826688209193435
822691,-53.600558834022934,-27.82753820522396
822681,-53.60096554612301,-27.828215470267708
822671,-53.60098554794462,-27.829053972063093
822661,-53.60068832020977,-27.82981417798186
822651,-53.60039141263354,-27.830575188793887
822751,-53.60083404635412,-27.832072809112788
822631,-53.60034125024845,-27.83147229491044
822621,-53.60083404635412,-27.832072809112788
822611,-53.599840621047804,-27.832351854354556
822601,-53.60038558053009,-27.833111711336358
822591,-53.60093054810625,-27.833871575512774
822581,-53.60075057757706,-27.834684668762407
822571,-53.60057061424243,-27.835497753018842
822561,-53.60101885973256,-27.836187730879033
822641,-53.600984557791094,-27.832261775560426
822741,-53.60258900947514,-27.823461993875867
822731,-53.601731341328275,-27.823950085627928
822721,-53.60162807667433,-27.824938426167364
73361,-53.64887721591077,-27.660215124328488
801111,-53.66210129693724,-27.69066221179162
801071,-53.65867782432207,-27.691634675699675
37711,-53.64827922250805,-27.66020851431142
71291,-53.73472135700496,-27.702943307787393
824521,-53.57925154122563,-27.828330633851635
824511,-53.57843926366104,-27.82829312672635
824501,-53.57799087517873,-27.82597861622014
824491,-53.57757386404256,-27.82829666645796
824481,-53.57757143947032,-27.827515738360603
824471,-53.577782265738904,-27.82675753253403
824461,-53.57799087517873,-27.82597861622014
824451,-53.57818128054163,-27.825404215631977
824441,-53.578363258357626,-27.824795415975643
824381,-53.58040317256831,-27.821093222773982
824371,-53.58102842082491,-27.820524040052362
824361,-53.58172585136691,-27.820115003204762
824351,-53.58172585136691,-27.820115003204762
1871,-53.57795000728697,-27.825973054812607
824671,-53.59235404290473,-27.826806521303865
824681,-53.5801426677499,-27.82834645202712
824691,-53.59155679930683,-27.826698245627483
824661,-53.59069599522394,-27.826868783167754
824651,-53.58984131552427,-27.827011050519502
824641,-53.58896400078794,-27.826986555684925
824631,-53.58814240444838,-27.82721444569006
824621,-53.58728557806694,-27.827612971261544
824611,-53.58646035116425,-27.82747425353392
824601,-53.5857288354174,-27.827619600164383
824591,-53.58488455277984,-27.827657345609964
824581,-53.584076809597036,-27.827793826723678
824571,-53.58321895708917,-27.827901468378002
824561,-53.58237305477263,-27.827789547749376
824551,-53.58168490613349,-27.82761945447419
824541,-53.58091112314975,-27.827964598987023
824531,-53.58017854170629,-27.82832705994582
643161,-53.641962652454424,-27.72315982456621
827081,-53.57843926366104,-27.82829312672635
1951,-53.578198918944906,-27.82897202853627
7371,-53.603852889699056,-27.661878534666585
7381,-53.6048356634351,-27.66182131440212
65601,-53.73181838321176,-27.685696782280615
583991,-53.650152703684284,-27.66016365972507
325221,-53.60066926807224,-27.848504121667816
325211,-53.59973829978264,-27.8503261211535
37691,-53.650862322737964,-27.66017714775711
18501,-53.66966737694787,-27.655539492353626
580951,-53.62004899086821,-27.830453850464778
